id,record_id,table_id,title,description
0,7,0,"Arizona Month:2",""
1,11,0,"Stringency Index: 10.317142857142857",""
2,12,0,"Government Response Index: 12.588571428571427",""
3,13,0,"Containment/ Health Index: 14.684285714285716",""
4,14,0,"Economic Support Index: 0.0",""
5,16,0,"Stringency Index: 10.317142857142857",""
6,17,0,"Government Response Index: 12.588571428571427",""
7,18,0,"Containment/ Health Index: 14.684285714285716",""
8,19,0,"Economic Support Index: 0.0",""
9,22,0,"Stringency Index: 10.317142857142857",""
10,23,0,"Government Response Index: 12.588571428571427",""
11,24,0,"Containment/ Health Index: 14.684285714285716",""
12,25,0,"Economic Support Index: 0.0",""
13,27,0,"Stringency Index: 10.317142857142857",""
14,28,0,"Government Response Index: 12.588571428571427",""
15,29,0,"Containment/ Health Index: 14.684285714285716",""
16,30,0,"Economic Support Index: 0.0",""
17,31,0,"Day: 1",""
18,32,0,"",""
19,33,0,"Deaths: 0.0",""
20,34,0,"Cases: 0.0",""
21,35,0,"XGB Error rate: 0.0",""
22,36,0,"KNN Error rate: 0.0",""
23,37,0,"",""
24,38,0,"H2 Testing policy: 5",""
25,39,0,"H3 Contact Tracing: 5",""
26,40,0,"H4 Emergency investment in healthcare: 5",""
27,41,0,"H5 Investment in vaccines'5",""
28,42,0,"H6 Facial Coverings5",""
29,43,0,"Policy change today",""
30,44,0,"",""
31,45,0,"symptoms indicate covid-19: 0.0",""
32,46,0,"symptoms related to influenza: 0.0",""
33,47,0,"doctors visits related to covid: 0.075132",""
34,48,0,"Hospital visits: 0.064249",""
35,49,0,"Covid tests: 0.0",""
36,50,0,"",""
37,51,0,"E1 Income support: 5",""
38,52,0,"E2 Debt/contract relief: 5",""
39,53,0,"E3 Fiscal measures: 5",""
40,54,0,"Policy change today",""
41,55,0,"",""
42,56,0,"C1 School closing: 5",""
43,57,0,"C2_Workplace closing: 5",""
44,58,0,"C3_Cancel public events: 5",""
45,59,0,"C4_Restrictions on gatherings5",""
46,60,0,"C5_Close public transport5",""
47,61,0,"C6 Stay at home requirements: 5",""
48,62,0,"C7_Restrictions on internal movement5",""
49,63,0,"C8 International travel controls5",""
50,64,0,"Policy change today",""
51,65,0,"",""
52,66,0,"move at home %: 0.29366972418906",""
53,67,0,"move away part_time: 0.06490707452038",""
54,68,0,"move away full time: 0.026001861560622997",""
55,69,0,"",""
56,70,0,"H1 Public information campaigns: 5",""
57,71,0,"Policy change today",""
58,72,0,"",""
59,73,0,"search terms related to covid-19 %: 1.7324578847857999",""
60,74,0,"Day: 2",""
61,75,0,"",""
62,76,0,"Deaths: 0.0",""
63,77,0,"Cases: 0.0",""
64,78,0,"XGB Error rate: 0.0",""
65,79,0,"KNN Error rate: 0.0",""
66,80,0,"",""
67,81,0,"H2 Testing policy: 5",""
68,82,0,"H3 Contact Tracing: 5",""
69,83,0,"H4 Emergency investment in healthcare: 5",""
70,84,0,"H5 Investment in vaccines'5",""
71,85,0,"H6 Facial Coverings5",""
72,86,0,"Policy change today",""
73,87,0,"",""
74,88,0,"symptoms indicate covid-19: 0.0",""
75,89,0,"symptoms related to influenza: 0.0",""
76,90,0,"doctors visits related to covid: 0.075132",""
77,91,0,"Hospital visits: 0.050811",""
78,92,0,"Covid tests: 0.0",""
79,93,0,"",""
80,94,0,"E1 Income support: 5",""
81,95,0,"E2 Debt/contract relief: 5",""
82,96,0,"E3 Fiscal measures: 5",""
83,97,0,"Policy change today",""
84,98,0,"",""
85,99,0,"C1 School closing: 5",""
86,100,0,"C2_Workplace closing: 5",""
87,101,0,"C3_Cancel public events: 5",""
88,102,0,"C4_Restrictions on gatherings5",""
89,103,0,"C5_Close public transport5",""
90,104,0,"C6 Stay at home requirements: 5",""
91,105,0,"C7_Restrictions on internal movement5",""
92,106,0,"C8 International travel controlsStarting Sunday, passengers flying to the U.S. from Hubei province in China will be placed under a 14-day quarantine. Archived link: https://web.archive.org/web/20200504091500/https://www.nbcnews.com/health/health-news/u-s-declares-public-health-emergency-over-coronavirus-n1127856",""
93,107,0,"Policy change today",""
94,108,0,"",""
95,109,0,"move at home %: 0.34657844403115995",""
96,110,0,"move away part_time: 0.053710618004805",""
97,111,0,"move away full time: 0.020017311538419",""
98,112,0,"",""
99,113,0,"H1 Public information campaigns: 5",""
100,114,0,"Policy change today",""
101,115,0,"",""
102,116,0,"search terms related to covid-19 %: 3.3633772222938996",""
103,117,0,"Day: 3",""
104,118,0,"",""
105,119,0,"Deaths: 0.0",""
106,120,0,"Cases: 0.0",""
107,121,0,"XGB Error rate: 0.0",""
108,122,0,"KNN Error rate: 0.0",""
109,123,0,"",""
